testid,t_x,t_y,p_x,p_y,error
51-0,12.172899000000001,7.26755,20.326099857393142,25.666097234860555,20.124145312891955
52-0,12.563567,2.07147,18.265668389184164,24.74918100522752,23.38359546111661
53-0,16.153973999999998,1.88372,20.321634186135203,26.5500036073116,25.015893716264173
54-0,15.776038,12.022295,16.149265749248762,23.71279851043608,11.69645977551873
55-0,30.32664,20.471105999999995,20.318320922170358,34.37098225026555,17.12813505716093
56-0,7.272438,21.034359,15.488844646448417,24.1596382972246,8.79071719858297
57-0,33.161176,54.89218399999999,14.009869883373524,51.20597343294581,19.502837596549803
58-0,33.241463,48.53166100000001,20.20357385554571,39.05085923594545,16.120550717403518
60-0,16.909851,38.99590300000001,18.109367527997616,41.499664568111314,2.776267618744745
