testid,t_x,t_y,p_x,p_y,error
51-0,12.172899000000001,7.26755,21.15535206666666,21.422376599999996,16.76435442153788
52-0,12.563567,2.07147,14.647902866666664,26.602735866666666,24.61965598919201
53-0,16.153973999999998,1.88372,20.323888599999993,22.87432106666666,21.4007831845295
54-0,15.776038,12.022295,14.14398566666667,27.708383,15.770762554882463
55-0,30.32664,20.471105999999995,20.655633577777778,24.075930311111115,10.321003998286274
56-0,7.272438,21.034359,14.42192326666667,25.345786999999998,8.348865250886961
57-0,33.161176,54.89218399999999,11.039216933333332,56.531878666666664,22.182643475185067
58-0,33.241463,48.53166100000001,19.693991999999998,37.5940262,17.411657747440714
60-0,16.909851,38.99590300000001,15.9776038,30.772394133333343,8.276181663185818
