testid,t_x,t_y,p_x,p_y,error
1-26,26.16932500000001,64.530086,24.7473688136976,64.48925694756473,1.4225422339201235
1-27,26.16932500000001,64.530086,26.055838552356608,64.48925694756473,0.12060756743041039
1-28,26.16932500000001,64.530086,26.082732216835293,64.46068287682948,0.11097343647032773
1-29,26.16932500000001,64.530086,24.758060302250442,61.43501489907183,3.4016368364237346
1-30,26.16932500000001,64.530086,26.080264768406085,64.54278963696186,0.08996169875909685
1-31,26.16932500000001,64.530086,26.124934234340643,64.44840790838691,0.09296155509338545
1-32,26.16932500000001,64.530086,26.16794696792187,64.50482549062833,0.025298069217318347
1-33,26.16932500000001,64.530086,25.98153945036564,64.46304926103832,0.19939241967060395
1-34,26.16932500000001,64.530086,25.984530630909912,64.57324334378093,0.1897670023203018
1-35,26.16932500000001,64.530086,26.13141683367467,64.53675262403154,0.03848990712027759
2-26,26.16932500000001,61.713816,26.4065920983473,61.48504777945561,0.32959152702881783
2-27,26.16932500000001,61.713816,25.046811338626686,61.57535965396706,1.131020371048436
2-28,26.169325000000004,61.713816,26.316675987177245,61.66314641804643,0.15581951083691983
2-29,26.16932500000001,61.713816,24.831445152343623,61.34419330787743,1.3879997915334918
2-30,26.169325000000004,61.713816,26.196354919531608,61.94874288053679,0.23647675519727537
2-31,26.16932500000001,61.713816,26.1905999170774,61.77429762536695,0.0641143439775957
2-32,26.16932500000001,61.713816,26.394135529318273,62.41040976610285,0.7319717542813451
2-33,26.16932500000001,61.71381599999999,25.864801192064967,63.01738684285395,1.3386678796244633
2-34,26.16932500000001,61.713816,26.033515553557052,61.770095395879736,0.14700876213250294
2-35,26.16932500000001,61.713816,26.508391701985957,61.765972376239034,0.3430546836555561
3-26,22.200978999999997,64.154583,22.245755931368013,63.79549890640841,0.3618651127882187
3-27,22.200978999999997,64.154583,22.245755931368013,63.6833916780827,0.4733140980711553
3-28,22.200978999999997,64.154583,20.358287094177285,63.69718254058662,1.8986122932437026
3-29,22.200978999999997,64.154583,22.075565012220736,63.13493325631765,1.0273335719824306
3-30,22.200979,64.154583,22.0622555138281,62.65754820146688,1.5034485004930465
3-31,22.200979,64.154583,22.198039966965123,63.69860853315935,0.45598393867086584
3-32,22.200979,64.154583,22.17534051392273,62.92917721391992,1.225673966651359
3-33,22.200978999999997,64.154583,22.245755931368013,63.756853900488984,0.4002416897083328
3-34,22.200979,64.154583,21.12629912684803,63.39316741125988,1.317076508231167
3-35,22.200979,64.154583,21.937842117065205,63.1432333941562,1.045021073663617
4-26,21.823041,61.52606400000001,22.51855701662435,63.1673899872074,1.7826086294145749
4-27,21.823041,61.52606400000001,20.67166325762781,63.23600566457628,2.061448811366401
4-28,21.823040999999996,61.52606400000001,21.52922794551315,63.931885496353665,2.423696182136742
4-29,21.823041,61.52606400000001,22.017833951547182,63.154881339962415,1.640423793089658
4-30,21.823041,61.52606400000001,22.245755931368013,63.61541454053374,2.131683277231881
4-31,21.823041,61.52606400000001,21.969200670466613,61.22787966702501,0.33207912566534115
4-32,21.823041,61.52606400000001,20.910332965126596,62.64711320881621,1.4456096587633498
4-33,21.823041,61.52606400000001,20.39194303146105,61.97388370062859,1.4995278856451382
4-34,21.823041,61.52606400000001,22.542589531579107,61.946544296277764,0.8333989253985609
4-35,21.823040999999996,61.52606400000001,24.515812959967604,63.24808818637993,3.196308515595016
5-26,18.610570000000003,64.154583,18.533563433687842,64.24236684263495,0.11677334577268299
5-27,18.610570000000003,64.154583,18.40520212286044,64.33750620878793,0.27502157237947966
5-28,18.610570000000003,64.154583,18.406856590959414,64.059976643594,0.2246096963520453
5-29,18.610570000000003,64.154583,18.770253833462267,63.92465539821609,0.27993861600591274
5-30,18.610570000000003,64.154583,18.203359830852182,64.13396238110106,0.4077319361800985
5-31,18.610570000000003,64.154583,19.207251816610142,63.67253756162109,0.7670703976396777
5-32,18.610570000000003,64.154583,18.203359830852182,64.13396238110106,0.4077319361800985
5-33,18.610570000000003,64.154583,14.169691840438421,63.95081562841921,4.445550581175745
5-34,18.610570000000003,64.154583,19.451550982446083,63.90316476790451,0.877758588830664
5-35,18.610570000000003,64.154583,18.695921451486896,64.13396238110106,0.08780706232812406
6-26,18.799539000000006,61.338313,15.579204567980517,61.51336775182261,3.225088839115283
6-27,18.799539000000006,61.33831299999999,18.74697913139358,62.26224269924344,0.9254234862656161
6-28,18.799539000000006,61.338313,15.53221644666161,61.957922141412766,3.3255544132784833
6-29,18.799539000000006,61.33831299999999,17.569656948160965,62.74049298005839,1.8651323164623959
