testid,t_x,t_y,p_x,p_y,error
1-26,26.16932500000001,64.530086,26.169325000000008,64.530086,3.552713678800501e-15
1-27,26.16932500000001,64.530086,26.169325000000008,64.530086,3.552713678800501e-15
1-28,26.16932500000001,64.530086,26.169325000000008,64.530086,3.552713678800501e-15
1-29,26.16932500000001,64.530086,26.169325000000008,64.530086,3.552713678800501e-15
1-30,26.16932500000001,64.530086,26.169325000000008,64.530086,3.552713678800501e-15
1-31,26.16932500000001,64.530086,26.169325000000008,64.530086,3.552713678800501e-15
1-32,26.16932500000001,64.530086,26.169325000000008,64.530086,3.552713678800501e-15
1-33,26.16932500000001,64.530086,26.169325000000008,64.530086,3.552713678800501e-15
1-34,26.16932500000001,64.530086,26.169325000000008,64.530086,3.552713678800501e-15
1-35,26.16932500000001,64.530086,26.169325000000008,64.530086,3.552713678800501e-15
2-26,26.16932500000001,61.713816,26.169325000000008,61.71381599999999,1.464821375527116e-14
2-27,26.16932500000001,61.713816,26.169325000000008,61.71381599999999,1.464821375527116e-14
2-28,26.169325000000004,61.713816,26.169325000000008,61.71381599999999,1.464821375527116e-14
2-29,26.16932500000001,61.713816,26.603953800000006,60.0177953,1.7508250651101382
2-30,26.169325000000004,61.713816,26.169325000000008,61.71381599999999,1.464821375527116e-14
2-31,26.16932500000001,61.713816,26.169325000000008,61.71381599999999,1.464821375527116e-14
2-32,26.16932500000001,61.713816,26.169325000000008,61.71381599999999,1.464821375527116e-14
2-33,26.16932500000001,61.71381599999999,24.336327200000003,61.557356199999994,1.8396631767312484
2-34,26.16932500000001,61.713816,26.169325000000008,61.71381599999999,1.464821375527116e-14
2-35,26.16932500000001,61.713816,26.169325000000008,61.71381599999999,1.464821375527116e-14
3-26,22.200978999999997,64.154583,22.163185199999994,63.8917311,0.26555506519750444
3-27,22.200978999999997,64.154583,22.125391399999994,63.62887920000001,0.5311101303950012
3-28,22.200978999999997,64.154583,17.8546946,60.81260910000001,5.482606828322135
3-29,22.200978999999997,64.154583,21.936422399999994,62.314619700000016,1.8588854563825072
3-30,22.200979,64.154583,21.747453599999993,63.084400300000006,1.162315060482505
3-31,22.200979,64.154583,22.163185199999994,63.8917311,0.26555506519750494
