,b_major,b_minor,t_building,t_floor,interval,rssi,testid,timestamp,t_x,t_y,beacon_id,b_floor,b_x,b_y
34,1000,514,31,1,5,-77,1-3,2019-06-05 15:27:56,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886
35,1000,573,31,1,5,-78,1-3,2019-06-05 15:27:56,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198
36,1000,514,31,1,5,-78,1-3,2019-06-05 15:27:57,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886
37,1000,594,31,1,5,-84,1-3,2019-06-05 15:27:57,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.59313259180229
38,1000,573,31,1,5,-78,1-3,2019-06-05 15:27:57,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198
39,1000,514,31,1,5,-77,1-4,2019-06-05 15:28:02,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886
40,1000,575,31,1,5,-87,1-4,2019-06-05 15:28:03,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423596
41,1000,541,31,1,5,-94,1-4,2019-06-05 15:28:03,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.26046624465638,9.09139753922206
42,1000,594,31,1,5,-85,1-4,2019-06-05 15:28:03,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.59313259180229
43,1000,573,31,1,5,-79,1-4,2019-06-05 15:28:04,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198
44,1000,594,31,1,5,-84,1-4,2019-06-05 15:28:04,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.59313259180229
45,1000,514,31,1,5,-76,1-4,2019-06-05 15:28:04,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886
46,1000,541,31,1,5,-94,1-4,2019-06-05 15:28:05,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.26046624465638,9.09139753922206
47,1000,573,31,1,5,-78,1-4,2019-06-05 15:28:05,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198
48,1000,594,31,1,5,-82,1-4,2019-06-05 15:28:05,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.59313259180229
49,1000,531,31,1,5,-68,1-4,2019-06-05 15:28:06,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.047434320772965,66.67614347374641
