Unnamed: 0,b_major,b_minor,t_building,t_floor,interval,rssi,testid,timestamp,t_x,t_y,beacon_id,b_floor,b_x,b_y,t_pos,t_num
32,1000,573,31,1,5,-79,1-3,2019-06-05 15:27:55,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,3
33,1000,531,31,1,5,-74,1-3,2019-06-05 15:27:56,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,3
34,1000,514,31,1,5,-77,1-3,2019-06-05 15:27:56,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,3
35,1000,573,31,1,5,-78,1-3,2019-06-05 15:27:56,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,3
36,1000,514,31,1,5,-78,1-3,2019-06-05 15:27:57,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,3
37,1000,594,31,1,5,-84,1-3,2019-06-05 15:27:57,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,3
38,1000,573,31,1,5,-78,1-3,2019-06-05 15:27:57,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,3
39,1000,514,31,1,5,-77,1-4,2019-06-05 15:28:02,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,4
40,1000,575,31,1,5,-87,1-4,2019-06-05 15:28:03,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,4
41,1000,541,31,1,5,-94,1-4,2019-06-05 15:28:03,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,4
42,1000,594,31,1,5,-85,1-4,2019-06-05 15:28:03,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,4
43,1000,573,31,1,5,-79,1-4,2019-06-05 15:28:04,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,4
44,1000,594,31,1,5,-84,1-4,2019-06-05 15:28:04,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,4
45,1000,514,31,1,5,-76,1-4,2019-06-05 15:28:04,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,4
46,1000,541,31,1,5,-94,1-4,2019-06-05 15:28:05,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,4
47,1000,573,31,1,5,-78,1-4,2019-06-05 15:28:05,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,4
48,1000,594,31,1,5,-82,1-4,2019-06-05 15:28:05,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,4
49,1000,531,31,1,5,-68,1-4,2019-06-05 15:28:06,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,4
50,1000,573,31,1,5,-79,1-4,2019-06-05 15:28:06,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,4
51,1000,594,31,1,5,-84,1-4,2019-06-05 15:28:06,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,4
52,1000,531,31,1,5,-68,1-4,2019-06-05 15:28:07,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,4
53,1000,541,31,1,5,-94,1-4,2019-06-05 15:28:07,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,4
54,1000,531,31,1,5,-68,1-5,2019-06-05 15:28:12,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,5
55,1000,500,31,1,5,-97,1-5,2019-06-05 15:28:12,26.169325,64.530086,A0:E6:F8:69:8E:63,2.0,29.22119240943289,32.517628184836234,1,5
56,1000,594,31,1,5,-84,1-5,2019-06-05 15:28:12,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,5
57,1000,514,31,1,5,-77,1-5,2019-06-05 15:28:13,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,5
