testid,552,575,514,531,539,541,594,503,573,500,524,511,589,509,522,569,508,t_x,t_y
2-14,0,0,-81.66666666666667,-76.66666666666667,0,-95.0,0,0,-77.0,0,0,0,0,0,0,0,0,26.169325000000008,61.713816
2-15,0,0,-81.5,-76.25,0,-96.0,-94.0,0,-77.66666666666667,0,0,0,0,0,0,0,0,26.16932500000001,61.713815999999994
2-16,0,0,-81.5,-76.25,0,0,-95.0,0,-77.33333333333333,0,0,0,0,0,0,0,0,26.169325000000008,61.713815999999994
2-17,0,0,-81.33333333333333,-76.0,0,0,-95.0,0,-78.0,0,0,0,0,0,0,0,0,26.169325000000008,61.713816
2-18,0,0,-82.0,-76.5,0,-93.0,-89.0,0,-77.66666666666667,0,0,0,0,0,0,0,0,26.16932500000001,61.71381599999999
2-19,0,0,-81.66666666666667,-76.0,0,-95.0,-96.0,0,-78.0,0,0,0,0,0,0,0,0,26.16932500000001,61.71381599999999
2-20,0,0,-81.5,-76.0,0,-94.0,-94.0,0,-77.0,0,0,0,0,0,0,0,0,26.169325000000008,61.713816
2-21,0,0,-81.0,-76.5,0,-96.0,0,0,-77.0,0,0,0,0,0,0,0,0,26.169325000000008,61.713816
2-22,0,0,-82.0,-76.0,0,-94.0,-95.0,0,-77.0,0,0,0,0,0,0,0,0,26.169325000000008,61.713816
2-23,0,0,-81.5,-75.75,0,0,0,0,-76.5,0,0,0,0,0,0,0,0,26.169325000000008,61.713815999999994
2-24,0,0,-81.66666666666667,-75.0,0,-94.5,-94.0,0,-78.0,0,0,0,0,0,0,0,0,26.169325000000008,61.713816
2-25,0,0,-81.0,-75.0,0,-94.0,-96.0,0,-77.5,0,0,0,0,0,0,0,0,26.169325000000008,61.713815999999994
3-1,0,0,-76.0,-75.5,0,0,-91.0,0,-84.5,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-2,0,0,-75.66666666666667,-76.0,0,0,0,0,-82.0,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-3,0,0,-75.25,-74.75,0,0,-91.5,0,-81.66666666666667,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-4,0,0,0,-75.0,0,0,-92.0,0,-81.66666666666667,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-5,0,0,-76.0,-75.25,0,0,-91.66666666666667,0,-81.5,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-6,0,0,-75.75,-75.66666666666667,0,0,-91.0,0,-82.33333333333333,0,0,0,0,0,0,0,0,22.200978999999993,64.154583
3-7,0,0,-77.25,-74.33333333333333,0,0,-93.0,0,-82.5,0,0,0,0,0,0,0,0,22.200978999999993,64.154583
3-8,0,0,-75.66666666666667,-74.0,0,0,-90.5,0,-82.75,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-9,0,0,-76.0,-75.0,0,0,-87.5,0,0,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-10,0,0,-76.25,-75.75,0,0,-90.0,0,-81.5,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-11,0,0,-76.25,-76.33333333333333,0,0,-92.0,0,-82.0,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-12,0,0,-76.0,-74.25,0,0,0,0,-82.66666666666667,0,0,0,0,0,0,0,0,22.200978999999993,64.154583
3-13,0,0,-75.66666666666667,-75.25,0,0,-92.33333333333333,0,-82.0,0,0,0,0,0,0,0,0,22.200978999999993,64.154583
3-14,0,0,-76.0,-75.75,0,0,-92.0,0,0,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-15,0,0,-77.33333333333333,-73.5,0,0,-92.0,0,-81.33333333333333,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-16,0,0,-74.0,-74.75,0,0,-92.0,0,-81.66666666666667,0,0,0,0,0,0,0,0,22.200978999999993,64.154583
